,Home Team,Away Team,Link,Season,Round,League
0,Hull City,Huddersfield Town,https://www.besoccer.com/match/hull-city/huddersfield-town-fc/202213336,2022,40,championship
1,Blackpool,Nottingham Forest,https://www.besoccer.com/match/blackpool-fc/nottingham-forest-fc/202213332,2022,40,championship
2,AFC Bournemouth,Bristol City,https://www.besoccer.com/match/afc-bournemouth/bristol-city-fc/202213329,2022,40,championship
3,Barnsley,Reading,https://www.besoccer.com/match/barnsley-fc/reading-fc/202213330,2022,40,championship
4,Cardiff City,Swansea City,https://www.besoccer.com/match/cardiff-city-fc/swansea-city-afc/202213333,2022,40,championship
5,Coventry City,Blackburn Rovers,https://www.besoccer.com/match/coventry-city/blackburn-rovers-fc/202213334,2022,40,championship
6,Derby County,Preston North End,https://www.besoccer.com/match/derby-county-fc/preston-north-end/202213335,2022,40,championship
7,Luton Town,Millwall,https://www.besoccer.com/match/luton-town-fc/millwall-fc/202213337,2022,40,championship
8,Peterborough United,Middlesbrough,https://www.besoccer.com/match/peterborough-u/middlesbrough-fc/202213338,2022,40,championship
9,Queens Park Rangers,Fulham,https://www.besoccer.com/match/queens-park-rangers-fc/fulham/202213339,2022,40,championship
10,Stoke City,Sheffield United,https://www.besoccer.com/match/stoke-city/sheffield-united/202213340,2022,40,championship
11,Birmingham City,West Bromwich Albion,https://www.besoccer.com/match/birmingham-city-fc/west-bromwich/202213331,2022,40,championship